age,income,policy_amount,num_claims,fraudulent
59,30596,36417,4,1
62,80669,12897,1,0
79,39930,7469,3,1
74,67950,32661,2,0
70,38687,37397,1,1
23,72833,44819,4,0
45,55989,48332,4,1
45,50183,26827,4,0
61,40758,14782,0,1
61,21082,35398,2,0
37,65891,30688,4,0
47,65810,30644,3,1
79,66901,21003,4,0
28,91062,40313,0,1
75,41563,45433,2,0
72,92008,25033,1,1
45,22775,8907,2,1
42,35828,41499,1,0
56,37974,31768,1,1
79,42388,20283,4,0
50,38615,12685,3,1
18,57886,13273,3,0
74,42838,49666,4,0
44,60728,18478,0,1
79,98000,35444,1,0
74,72798,16368,3,0
69,92776,15017,2,1
30,90478,35679,0,0
58,39622,13273,4,0
20,33536,29570,0,0
56,87136,38110,3,0
23,25700,44708,4,0
25,58839,37552,3,0
44,30248,31430,1,0
26,65291,33575,0,1
79,37177,38635,1,0
54,39483,48436,2,0
50,63815,37938,1,0
68,58533,31358,0,0
59,20026,13769,2,0
61,80611,13259,3,1
41,44660,39283,2,0
32,75103,34729,0,0
76,72253,13192,4,0
71,62082,39966,2,0
49,36258,22285,3,1
49,35389,27287,2,0
41,47685,36347,1,0
58,79220,45523,4,0
69,47195,13986,0,1
66,41797,7066,4,0
79,91310,47779,1,0
66,86332,35754,4,0
75,82907,23922,1,1
69,27188,41675,2,0
29,43696,48014,0,0
79,22024,40364,1,1
56,93202,34428,1,0
19,55985,24705,2,1
20,26584,47098,1,0
66,47044,29104,0,0
54,25285,35032,3,1
66,83115,40389,4,0
73,27370,15920,1,1
34,37903,47125,4,1
76,52499,41609,4,0
66,42995,19423,3,0
19,55200,42326,1,0
19,90402,37690,0,0
45,33566,30099,1,0
71,57822,42107,4,1
40,71222,38006,2,0
54,70668,29810,3,0
49,83853,27714,0,0
50,74643,37358,0,0
18,42333,37033,4,1
36,35958,12388,0,0
79,72442,31095,4,0
19,40954,15426,0,1
70,95174,12617,0,0
61,29675,45850,4,0
43,51661,45347,3,0
49,84289,18922,0,0
23,37184,30511,1,0
49,67963,44224,2,0
72,45822,30394,4,1
21,82303,33143,0,0
72,96465,7439,3,0
28,25267,32963,1,0
73,72647,15019,4,0
76,82814,27470,1,0
34,56025,32191,2,0
55,97605,47833,3,0
41,20981,31349,4,0
22,63436,13391,4,1
69,38472,34658,0,0
51,39336,13369,1,0
23,45587,43310,4,0
39,97192,14122,1,1
28,73013,16928,2,1
65,29665,39804,0,0
33,47097,47445,2,0
50,72474,43318,0,1
26,91973,42031,0,1
77,45185,47875,1,0
76,95911,44094,0,1
23,50484,29591,2,1
33,65610,18891,2,0
46,70807,48894,2,0
20,70907,46796,1,0
37,77389,12721,1,0
77,45835,23541,3,0
76,73790,31152,4,1
53,96960,12123,3,0
36,29643,10812,3,0
43,95846,41112,0,0
20,38951,25840,0,0
36,35233,6208,3,1
37,33200,23242,4,0
49,72275,24087,3,0
24,96068,6971,1,0
69,41291,34795,2,0
58,62448,38881,3,1
50,50580,5983,0,0
57,41346,34941,4,0
56,30619,16502,0,0
35,21766,33577,1,0
57,23549,48731,0,0
18,38693,15354,0,0
28,82019,7127,4,0
45,68328,25023,4,0
74,97701,33850,0,0
42,45301,28860,0,0
67,64763,38328,3,0
40,40765,11652,1,0
48,64787,35979,3,0
47,27425,47769,4,0
59,32857,25771,3,0
52,72771,46250,3,0
24,42444,39677,0,0
77,61457,44998,0,0
33,99741,17881,1,1
43,20704,22331,2,0
65,25452,15719,2,0
74,58862,39116,3,0
69,81471,13572,1,1
77,89217,14896,1,1
66,38300,38077,4,0
19,29566,24798,0,0
18,27501,10789,4,0
65,21845,14690,2,0
79,59181,48854,1,0
29,77263,44336,2,1
22,98766,46620,0,1
54,83038,24831,0,0
49,54404,31073,0,1
76,42564,15264,2,0
72,77435,21049,1,0
26,38227,16628,4,0
58,67475,7142,1,0
52,37215,19843,1,1
36,91074,34236,3,1
65,41699,47565,1,0
33,32454,26123,4,1
20,68217,31007,3,1
37,41711,19825,1,0
41,35059,15142,3,0
71,68398,33498,1,1
73,21286,38226,0,1
50,54297,45348,0,1
41,46485,32524,1,0
69,79967,20298,3,0
28,74583,17135,4,1
66,71630,12380,0,0
25,47086,31589,3,1
53,36484,37466,4,0
55,88623,41788,3,0
57,79263,29920,1,0
37,38675,10643,0,0
79,80664,21729,0,0
52,44680,46284,0,1
65,37077,11610,1,0
79,58174,23522,4,0
42,96968,25773,4,1
52,23491,16804,0,0
42,66126,12816,4,0
46,23392,32473,0,0
35,82257,16932,4,0
63,87804,22494,0,0
35,58400,28709,4,1
19,56551,35189,3,0
71,48088,35905,0,1
52,45465,11487,0,0
33,68155,22204,2,1
78,25969,10988,0,0
58,28981,32364,4,0
53,41032,43403,3,1
50,74091,26048,3,1
21,44408,12093,4,0
50,44241,42372,1,0
31,67940,22947,0,0
38,71105,35735,3,0
65,81050,34196,4,1
37,23657,27727,3,0
73,41230,47167,3,0
25,38680,29884,4,0
24,62340,39607,2,1
20,55950,12675,3,1
34,98515,49312,3,0
50,27867,45769,1,1
65,98542,14575,2,1
29,24329,40074,1,0
76,55865,30756,4,0
68,86940,15664,0,1
39,57869,20114,4,0
72,86905,26524,2,1
39,86252,16159,4,0
63,99386,18299,2,1
47,21711,33032,1,0
55,45801,46397,3,0
55,73270,5455,4,1
62,91622,47529,4,0
68,75535,47578,3,0
71,96759,49572,4,0
25,36220,39280,4,0
44,33392,9738,0,0
44,22246,37266,0,0
51,40010,21775,3,1
38,88358,40389,1,0
47,37234,20718,4,0
50,69451,11176,4,0
45,95205,14112,1,1
64,41784,27103,4,1
50,49672,43809,1,0
22,21082,32033,3,0
77,31148,24984,3,0
78,47494,36742,1,0
65,95093,42978,1,0
36,71952,9508,2,0
21,56719,44210,0,0
52,68737,11216,0,0
66,79453,29269,4,0
34,59536,5260,4,0
61,70604,11833,1,0
45,70833,14527,1,1
47,34039,10944,0,0
46,87839,27518,4,0
63,67931,28259,0,0
70,59925,34860,3,0
23,71003,36559,0,0
52,68897,38102,0,1
77,62287,12669,1,0
58,53012,40547,4,0
54,61783,30379,3,0
41,88315,28712,0,0
46,66491,24191,0,1
66,78584,18259,1,0
63,32803,42958,2,0
70,69625,30516,4,0
48,33698,40931,4,0
52,54560,14094,4,1
77,35376,16624,0,1
50,33117,28872,0,0
69,76381,37791,0,1
78,57956,9652,2,0
38,68786,40516,0,0
49,86480,30972,4,0
40,51695,13095,4,1
50,21511,8357,1,0
20,73233,17096,2,0
35,42502,13095,3,0
42,70010,15680,0,1
59,93905,45851,3,0
48,66489,33242,0,0
71,51949,31333,2,0
75,88376,18169,2,0
20,99587,29539,4,0
57,87310,44837,2,0
63,98798,26722,3,0
41,89407,23916,3,0
67,93809,43105,2,1
49,37229,8773,3,1
64,47385,34945,0,0
39,62176,26045,1,0
40,23260,7057,4,0
19,23145,22061,1,0
44,27802,18138,3,0
59,22263,40742,4,1
19,46913,29860,1,0
43,77788,20903,1,1
34,28155,34042,3,0
57,20922,44212,4,0
50,92231,23224,4,1
26,40672,6878,1,0
60,58526,44057,4,0
71,65344,14802,4,0
65,39014,33538,0,0
56,93352,28603,3,1
46,60324,20037,3,0
59,58698,16690,0,0
72,97169,15323,1,1
43,43384,8314,2,0
52,23512,39146,1,0
67,26066,19356,0,1
42,51500,16269,4,0
41,98743,48974,0,0
30,99858,10340,3,1
77,74800,49852,4,0
75,83140,47675,1,1
24,22387,38220,4,0
74,76160,46301,3,1
53,79241,5392,0,0
62,93567,10471,1,0
37,21799,13137,2,0
18,55548,18997,2,0
25,53895,24434,0,0
63,60379,46930,1,1
33,65414,35278,1,1
31,93071,15397,4,1
29,88344,36530,0,1
68,98591,9794,4,1
40,24297,28794,0,1
32,25008,21549,3,1
45,36820,46214,0,0
51,91548,46261,4,1
19,42253,11363,1,1
49,49202,49063,0,0
40,49236,13079,1,1
39,87156,17032,3,0
68,80263,48516,2,0
42,94855,6505,2,0
75,36575,14448,4,0
79,32204,18240,0,0
78,31952,45177,3,0
39,71142,35739,3,1
75,53872,37977,1,1
75,49376,25177,4,1
39,86084,24431,3,0
66,31640,7119,0,0
69,46437,5177,3,1
59,27903,39314,2,0
23,46863,15226,4,0
32,63381,29874,1,0
71,48548,35985,0,0
60,69956,32143,2,1
77,94526,17231,3,1
54,31467,19016,4,0
50,77954,19134,4,0
25,43901,19082,0,0
70,75983,12775,1,0
77,43301,21175,2,0
61,89903,19133,1,0
61,36204,47383,0,1
22,39755,27427,0,1
56,79817,19837,2,1
21,22093,15546,4,1
23,89537,29992,4,0
62,42940,15748,2,0
49,93346,30496,1,0
69,64040,6553,2,1
47,57322,30241,4,1
64,29236,7469,1,0
52,92597,6474,3,0
72,23902,36109,1,0
57,54364,27861,4,0
69,40096,38105,0,0
33,32020,44759,1,1
30,78473,49119,1,0
67,64153,38855,0,1
77,61277,39061,4,0
59,58502,46616,3,0
47,35675,35072,3,0
36,44365,10964,2,1
34,98229,40596,3,0
73,72148,11472,3,1
36,88078,25357,1,0
45,90902,28045,2,1
75,46465,11564,3,0
72,52286,6336,1,0
43,74795,48316,2,0
54,60178,20181,1,0
43,99183,39435,0,0
70,69986,33606,4,0
79,63201,6212,4,1
40,63315,7768,4,1
26,95396,34737,3,0
29,75178,32634,4,1
70,30745,14589,4,1
18,92354,31794,2,1
75,99637,41444,2,0
75,25028,23694,2,0
18,68566,12085,3,0
64,63722,23211,4,0
51,94974,27669,3,0
49,59879,24603,3,0
79,44767,28155,3,0
71,88099,42456,3,0
65,68657,9511,3,0
42,28498,23456,3,0
57,93667,28154,4,0
62,45107,33765,2,0
70,48793,23714,1,0
18,22696,38453,1,0
33,73839,38452,1,1
78,43397,32513,0,0
56,27704,36535,2,0
22,36442,33287,4,1
39,83788,13532,3,0
46,29765,17891,1,0
72,30002,38501,2,0
20,31390,6496,4,0
29,64436,20154,1,0
43,26641,16146,2,0
33,53709,10450,4,0
68,59309,42403,2,0
54,35624,23116,3,0
39,29966,48995,2,1
74,54189,32289,2,0
46,91301,28109,0,0
31,37223,44071,3,1
45,98183,48439,2,0
22,24959,29415,3,0
64,47257,22803,2,0
66,70802,15181,3,0
47,47215,37716,4,0
63,75046,9710,1,0
79,54094,46447,0,0
69,58669,33395,1,1
22,56126,18500,2,0
29,99036,39209,2,0
33,36772,40158,4,1
43,68586,6384,2,0
43,71943,23540,3,0
65,88868,9396,1,1
38,69855,6391,2,0
56,42218,21652,4,0
53,77205,25301,0,0
50,24959,14716,1,1
79,65134,20568,4,0
47,45874,13669,4,0
54,21301,9271,1,0
40,78017,20228,4,0
75,63319,19256,0,0
27,42455,30185,0,0
71,24112,28386,2,0
22,77033,29152,3,0
53,78360,27267,2,0
51,52145,17779,3,0
69,52735,19434,1,0
48,92781,34000,4,0
27,87641,32973,2,1
75,41711,42861,4,0
36,25630,11438,2,0
75,85488,17729,2,0
49,23206,34466,0,0
18,76289,31407,3,1
73,38953,34562,1,0
22,30068,27558,4,0
62,98930,30730,2,0
21,75916,47711,4,1
33,21067,32061,0,0
41,70658,26829,1,1
33,72165,40101,3,0
72,29859,42154,3,0
19,49164,17655,2,0
66,40773,25965,1,1
45,77295,21316,3,0
49,53939,13359,1,0
44,68599,19172,4,0
37,26114,8542,0,1
41,32818,20529,1,0
29,29335,13054,1,1
67,75008,44682,3,0
52,91745,45281,2,0
77,63148,13269,2,0
50,23577,16090,4,0
50,93916,6108,3,0
78,24076,26140,3,1
68,52925,6224,0,0
60,71869,17876,2,0
54,79314,20097,3,0
29,61205,13756,4,0
20,31095,7859,0,0
18,76680,29877,2,0
50,48400,19628,2,1
57,87346,17581,2,1
27,48562,13300,0,0
60,60663,7412,4,0
61,38510,40415,4,0
46,81608,32301,3,0
30,92489,18805,3,0
29,72182,8338,2,0
48,46883,10804,1,1
63,91427,34309,3,0
19,55844,25197,4,0
78,38728,17392,2,0
68,31094,15448,4,0
67,22407,25029,2,0
52,75412,32097,0,0
40,32644,41185,3,0
34,80746,21395,0,1
43,72748,27993,3,0
25,79021,24529,4,1
46,82651,22258,4,0
43,56807,32009,1,1
27,54072,12303,4,1
43,58398,9650,2,1
79,48669,17177,1,1
51,50161,18747,2,0
68,27282,36782,1,0
58,46539,28181,2,1
24,23307,26823,1,0
21,37745,19182,3,0
75,59433,44776,3,1
70,54555,18276,1,0
67,21073,14771,0,0
62,52683,16963,1,0
28,45741,29928,0,1
46,42286,45930,2,1
73,23599,19849,1,0
53,47293,31082,0,0
42,35389,8487,1,0
38,32318,31605,3,0
78,68875,15038,3,0
74,23055,45305,1,1
53,26320,7390,1,0
27,24642,41798,4,0
54,29321,45260,3,0
26,99968,8438,2,1
41,79618,40151,1,0
52,46044,41135,4,0
66,41971,11167,1,1
52,45727,18172,3,0
65,42559,39233,0,0
53,93820,41251,0,0
35,47476,21957,3,0
66,82683,35360,2,0
56,30991,5774,4,1
49,90047,28414,1,0
41,30796,25722,1,1
40,23881,29405,1,1
79,35668,41698,4,1
49,54312,32256,4,0
54,48106,26344,3,1
29,35729,39988,4,1
66,90320,39207,1,0
72,74913,45192,1,0
30,77026,13905,4,1
40,79402,44468,4,1
42,57282,30151,3,0
52,94638,27723,0,1
58,58218,43278,4,0
47,37950,16173,0,0
34,79739,49724,2,0
66,24507,18130,0,0
79,66303,31952,4,0
37,99059,15937,1,0
65,44667,46702,1,0
42,23992,44496,4,0
39,93563,25534,3,1
30,45530,28794,4,0
76,35305,29985,4,1
36,72129,24391,3,1
66,72044,32528,3,1
53,78817,11870,2,0
29,66666,26518,2,1
78,46173,42010,2,0
58,38909,26993,3,0
36,83967,47639,0,1
29,51007,34720,4,1
26,32985,29162,2,0
24,42525,14906,0,0
45,57403,22581,4,0
31,57193,36289,0,0
48,23830,21205,1,0
69,76144,45854,1,1
36,20533,16408,4,1
75,40946,32532,0,1
64,43504,8193,0,0
33,75715,45986,3,0
70,48255,10220,2,0
22,76441,24357,4,0
52,56855,44299,0,0
29,61721,24549,2,0
42,61850,22474,4,0
69,54723,5141,0,1
76,55739,21650,1,0
38,25539,45487,0,0
53,93029,25694,1,0
70,84509,46448,1,0
40,41311,46455,3,0
33,89180,21863,3,0
74,55934,7690,2,0
56,29511,26320,4,0
62,20183,7427,2,1
70,29475,30419,3,0
59,83130,45832,2,1
75,79577,40983,4,1
56,46008,27365,4,0
31,96868,8911,0,0
48,67941,25461,2,0
75,62756,5649,3,0
22,90258,31469,0,0
52,47912,32826,2,0
40,70659,20503,4,0
46,66840,48346,3,1
60,58623,26962,2,0
28,83303,45884,4,1
35,66062,39122,4,0
64,76690,22677,2,0
29,97582,24642,2,0
26,43634,7713,3,1
27,24090,13595,0,1
75,65266,18779,4,0
61,50008,17164,0,0
34,78704,6546,0,0
78,82866,40374,4,0
55,28382,31428,2,0
24,67774,41974,4,0
63,94570,36707,0,0
30,94062,30388,3,1
57,66698,41142,4,1
59,21110,30505,3,0
26,20386,18173,2,1
67,78513,34580,2,0
44,67801,33651,3,0
75,91857,28318,3,1
19,51566,19627,4,0
22,52521,11078,2,1
46,43798,41091,3,0
54,33565,13366,1,1
55,43027,19444,4,1
36,25631,44873,4,0
25,76878,22747,1,1
65,65206,32471,2,1
62,78582,14229,3,0
18,78334,45257,3,0
39,92323,21304,2,1
69,73619,29335,1,0
34,46875,7090,1,1
24,44514,37368,1,0
42,42580,15944,4,0
62,24288,36752,3,1
21,26734,37916,0,0
53,59008,25817,4,0
23,69349,10098,4,0
77,27814,6133,3,1
48,63154,47067,2,0
36,27851,33670,3,0
78,21600,40974,2,0
61,76614,6109,3,0
71,92402,33755,4,0
56,23692,47937,1,0
44,78027,29802,4,0
27,40373,48899,4,0
43,82805,46972,0,0
36,34507,8106,4,0
56,82931,41704,4,0
79,95499,48762,4,0
20,91642,14658,0,1
62,92869,21340,2,0
30,59423,48948,0,0
67,86600,13461,1,0
45,61848,27933,2,0
79,26820,47491,0,0
75,28512,13495,1,0
37,56725,37291,1,0
45,71534,18097,3,0
25,59776,26532,3,0
78,80945,36110,4,0
58,67455,45702,2,1
56,72433,29717,0,0
18,29711,43543,4,1
20,79262,46768,2,0
30,29597,22331,3,0
45,80067,48252,0,0
79,68022,48883,1,0
74,38782,36631,1,0
77,71782,44940,4,0
66,92144,26399,4,0
42,75013,30514,0,0
73,92036,7496,1,1
50,55342,35985,4,0
55,40977,24946,1,0
70,77396,44161,3,0
23,70021,26434,4,1
75,89057,43178,2,0
61,86836,38310,4,0
62,47075,15871,3,1
49,50802,18390,0,0
62,97761,16146,1,0
78,97017,29107,0,0
64,75822,20479,4,0
38,71603,16183,2,0
33,55592,23996,0,0
71,76006,33224,2,0
38,46269,15309,4,1
28,70138,21173,2,1
77,82398,15872,2,0
54,39874,44800,3,1
53,77228,36946,0,0
52,82670,32424,4,0
36,27925,27707,3,0
37,23107,9688,2,1
74,47617,17854,3,0
35,94258,42554,3,0
64,70075,8681,2,0
58,42631,26613,4,0
66,82444,24879,1,1
31,27883,46624,3,0
32,39708,11078,0,0
48,66221,36356,2,0
18,37197,32941,1,0
70,41134,6416,3,0
71,53550,24492,2,0
71,34642,30425,2,0
20,40439,38675,3,0
33,44583,13507,0,0
40,99538,18573,2,0
74,82014,33698,2,0
28,39523,47478,3,0
29,90543,23318,1,0
27,96830,43719,2,1
49,65538,9344,2,0
33,67310,35992,3,0
25,30908,45194,2,0
55,77290,14993,3,0
29,73634,44102,0,1
41,32699,24006,3,0
45,86912,14048,1,1
70,34255,26949,2,0
25,99183,15068,0,1
75,80282,22909,2,1
45,78249,36335,2,1
53,58176,39184,3,0
43,28163,6794,2,1
25,74210,32641,0,0
75,91979,7720,4,0
77,98860,11826,2,0
67,41143,33780,3,0
45,24920,44563,1,0
45,57996,42844,2,1
54,31748,11369,3,1
58,67252,46312,2,0
53,83179,49191,4,0
44,26450,47387,4,0
71,72756,10826,0,0
34,70235,7192,4,0
26,20020,24920,3,1
50,29664,28683,4,1
70,86635,30692,3,0
37,43225,40088,2,1
30,88173,29255,0,0
45,60225,21917,0,0
65,30807,14409,4,0
46,26402,20529,1,0
30,24521,19795,4,0
63,83165,16180,1,0
52,28382,26735,4,0
78,35065,23363,3,0
23,34425,23460,3,1
35,33111,49036,1,1
68,60799,15136,0,0
22,73257,16291,1,0
64,81177,44009,2,0
42,57851,17549,0,0
19,28816,17021,1,1
27,97853,9114,2,0
73,22175,7584,2,0
47,31341,14740,4,0
67,83908,39256,1,0
76,45654,25043,3,0
62,80895,35743,4,0
22,79696,18319,0,0
72,77889,37995,3,1
73,50194,25855,2,1
50,54837,10242,0,0
71,88894,29007,4,0
18,61576,34407,2,0
35,39727,19850,2,1
49,54579,26312,2,0
64,36555,19094,3,0
66,73294,45083,4,1
28,69777,17988,4,0
38,25906,18198,3,0
43,60751,5698,4,0
42,89599,5437,2,0
39,94180,27203,2,0
76,93678,20995,2,0
44,51644,43948,4,0
66,53521,14876,1,0
30,31564,23537,0,1
50,90640,17902,1,0
51,47299,27759,3,0
58,67958,32490,1,0
52,76078,26520,1,0
18,33421,10278,3,0
38,31202,38727,1,0
65,62185,15031,0,1
72,23685,29853,4,0
23,62637,25604,3,0
45,38366,45355,1,0
34,44276,30919,2,0
22,68239,26154,2,0
48,95214,13906,3,1
22,44575,19298,2,0
55,61401,47465,0,0
20,61230,6347,1,0
70,99424,10008,0,1
40,88617,29553,0,1
54,43021,32018,4,0
70,29449,9868,1,0
54,35657,35905,3,1
27,55059,8960,2,1
27,21532,14944,4,0
36,70805,7505,0,0
34,57756,28759,2,0
38,91880,23121,1,0
31,94642,24063,0,1
26,54206,36559,0,1
63,72168,10760,1,1
18,95188,46871,3,0
68,44550,18081,4,0
62,26389,38126,1,0
30,55847,35961,2,1
21,99239,43721,2,0
79,38642,38844,0,1
18,56509,19088,4,0
66,99417,12236,3,0
57,69237,43439,3,1
49,35414,27148,2,1
51,83176,42742,3,1
45,99865,41295,2,0
48,82059,47564,4,1
25,69150,38843,0,0
56,61091,25432,2,0
43,93124,21712,4,1
75,20903,19433,2,0
51,74235,32808,1,0
71,78565,41245,2,0
71,75342,44892,4,0
20,62723,22386,3,1
76,55572,30152,2,1
67,37610,29902,0,0
29,54052,37662,4,0
18,57550,19702,3,1
71,74033,40589,4,0
61,49011,47425,2,0
22,54764,49185,1,0
47,73533,31857,1,0
47,44064,23764,0,0
76,69581,13686,0,0
74,48702,7416,3,0
34,28631,30729,1,0
65,90043,37671,2,0
64,86063,7142,4,1
40,48981,24772,4,0
32,55764,30377,1,0
54,70513,48002,1,0
38,86198,5207,4,0
31,44940,15846,3,1
19,91792,46432,4,0
28,48432,26511,0,0
68,28367,29711,2,0
56,45511,42124,1,0
55,28573,30746,1,0
77,35582,11024,3,0
51,25378,35392,0,0
55,85296,45373,4,0
67,33500,39204,0,1
51,85841,49531,0,0
35,41881,27759,3,0
47,90233,31724,3,1
32,71542,46466,4,0
44,85285,15797,4,0
68,79547,30021,2,0
51,82151,40549,0,0
69,27222,38211,4,0
74,27933,47500,3,1
55,98437,48730,2,0
50,26940,38334,2,0
41,79145,24986,3,0
32,63610,23320,4,0
77,77520,41951,3,1
47,24544,45694,4,0
72,74812,47612,3,0
59,91610,43569,3,0
68,71500,21021,1,0
34,59618,26199,4,1
22,45444,10500,0,0
46,76586,34666,1,0
21,44789,10402,1,1
27,21617,28371,1,1
73,23333,42549,1,1
34,60002,40454,0,1
27,83620,20515,1,0
34,20511,22587,0,1
77,57850,42824,0,1
37,51786,48897,1,0
41,94356,12057,2,0
22,56244,17099,0,0
51,94714,27097,1,0
23,87261,10183,3,0
70,38477,25463,3,0
19,66533,36060,4,1
30,54469,21696,0,0
79,28496,13354,0,1
60,32270,22912,3,1
60,96008,34361,0,0
65,40724,26880,0,0
28,50416,47525,3,0
68,55575,20760,1,1
64,96614,9768,3,1
74,93108,28951,2,1
40,37408,38166,3,1
72,39359,22431,3,0
33,28698,23326,1,0
48,90392,32706,3,0
28,59492,38007,3,0
71,94781,31934,1,0
33,63634,44232,3,1
25,62864,38439,1,0
21,57355,37224,2,0
57,57690,29303,1,1
21,57814,40229,0,0
73,51645,32969,0,0
42,92739,25532,1,1
20,76630,38855,3,0
49,68171,11776,4,0
20,41658,14334,4,1
44,35797,42892,2,0
46,78799,33484,2,1
49,72236,33831,4,1
67,26265,49919,4,0
78,92134,28665,1,0
75,73494,34205,4,1
68,72268,12054,0,1
36,46998,48468,2,1
38,81339,6028,2,0
22,34306,15368,0,0
35,84006,26435,2,0
45,67345,22054,4,0
59,31885,42362,2,1
78,63826,19611,0,0
39,75597,18394,2,0
38,27443,39623,4,0
